sample	fraction	hap	GS	SZ	NN	N50	L50	AU
UCDWGSCIFI-01	20	hap1	2300000000	2494885953	175	76609324	12	73982555
UCDWGSCIFI-01	20	hap2	2300000000	2337111034	118	72511345	13	71973390
UCDWGSCIFI-03	20	hap1	2300000000	2334377755	165	62647874	13	67009373
UCDWGSCIFI-03	20	hap2	2300000000	2175406263	108	67215004	13	65472571
UCDWGSCIFI-01	40	hap1	2300000000	2493565355	172	76336571	12	76727032
UCDWGSCIFI-01	40	hap2	2300000000	2337242581	131	74338764	12	74500334
UCDWGSCIFI-03	40	hap1	2300000000	2327239423	165	67220052	13	67913711
UCDWGSCIFI-03	40	hap2	2300000000	2181669156	113	60380426	13	63802325
UCDWGSCIFI-01	60	hap1	2300000000	2342087983	169	74336345	12	73983302
UCDWGSCIFI-01	60	hap2	2300000000	2488109753	131	76336577	12	77431973
UCDWGSCIFI-03	60	hap1	2300000000	2330881106	160	62494721	13	65628886
UCDWGSCIFI-03	60	hap2	2300000000	2178198082	111	67737057	13	63585344
UCDWGSCIFI-03	80	hap1	2300000000	2325637718	163	60380426	13	65834941
UCDWGSCIFI-03	80	hap2	2300000000	2182278636	109	65741617	13	66732807
UCDWGSCIFI-01	80	hap1	2300000000	2334413963	154	76023928	12	78072132
UCDWGSCIFI-01	80	hap2	2300000000	2493754384	136	72615960	12	76045191
UCDWGSCIFI-01	100	hap1	2300000000	2334375679	168	74338781	12	73441114
UCDWGSCIFI-01	100	hap2	2300000000	2494501047	128	73158474	13	74577836
UCDWGSCIFI-03	100	hap1	2300000000	2184589562	163	65741588	13	67117100
UCDWGSCIFI-03	100	hap2	2300000000	2323597643	115	60380426	13	66012564
